Name,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage,Party
Janie Monier,"1,438","6,217","6,313",570,14538,12.20%,
Josh Bokee,"1,412","6,395","5,969",556,14332,12.02%,
"Chad King Wilson, Sr.","1,427","6,233","5,797",555,14012,11.76%,
Jaime Kiersten Brennan,"1,818","8,327","2,176",267,12588,10.56%,
Colt Morningstar Black,"1,646","7,682","1,921",253,11502,9.65%,
Veronica D. Lowe,804,"3,127","2,689",261,6881,5.77%,
Tabitha McLoughlin,836,"4,359","1,257",167,6619,5.55%,
Mahesh Aitha,754,"2,829","2,353",270,6206,5.21%,
Patti Lee Worsley,701,"3,169","1,502",136,5508,4.62%,
Angie Vigliotti,528,"2,271","1,996",227,5022,4.21%,
Cecelia Moore Reidler,397,"1,421","1,776",152,3746,3.14%,
Justin L. Smith,334,"1,738","1,199",125,3396,2.85%,
Jerry N. Alexandratos,398,"1,401","1,398",146,3343,2.80%,
Paul Fairfield,320,"1,742","1,145",130,3337,2.80%,
Allison Medrano,297,"1,345","1,254",120,3016,2.53%,
Rayna Remondini,374,"1,553",857,103,2887,2.42%,
Navian Scarlett,242,852,"1,053",114,2261,1.90%,
Totals,"13,726","60,661","40,655","4,152","119,194",100.00%,
